"task_view","task_view_descr","package","Date","Title","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","Archs","MD5sum","NeedsCompilation","File","Repository"
"Bayesian","Bayesian Inference","bcp","2018-08-13","Bayesian Analysis of Change Point Problems","4.0.3",NA,"graphics, methods, grid","Rcpp (>= 0.9.2)","Rcpp, RcppArmadillo","DNAcopy, coda, strucchange, vegan, ggplot2, igraph",NA,"GPL (>= 2)",NA,NA,NA,NA,"afacfa1e94090eda810d22b18ce95b5b","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BDgraph","2021-05-03","Bayesian Structure Learning in Graphical Models using
Birth-Death MCMC","2.64",NA,NA,"igraph",NA,"ssgraph, huge, pROC, ggplot2, tmvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"5213863e1b5c9910b84c8d7f8c7a0fb6","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","Bergm","2021-06-15","Bayesian Exponential Random Graph Models","5.0.3",NA,"ergm, R (>= 2.10)","network, coda, MCMCpack, Matrix, mvtnorm, matrixcalc,
statnet.common",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"6a135bdba162c9bae15bb417ebf02839","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BEST","2021-10-13","Bayesian Estimation Supersedes the t-Test","0.5.4",NA,"HDInterval","coda, rjags",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"0f9d95f39d0d8227a4ea32cc2616d33b","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","blavaan","2022-01-27","Bayesian Latent Variable Analysis","0.4-1",NA,"R(>= 3.5.0), methods, lavaan(>= 0.6-10), Rcpp(>= 0.12.15)","stats, utils, graphics, MCMCpack, coda, mnormt, nonnest2(>=
0.5-5), loo(>= 2.0), rstan(>= 2.21.2), rstantools(>= 1.5.0),
RcppParallel (>= 5.0.1), bayesplot, Matrix, future.apply,
tmvnsim","StanHeaders (>= 2.18.1), rstan (>= 2.21.2), BH (>= 1.69.0),
Rcpp (>= 0.12.15), RcppEigen (>= 0.3.3.4.0), RcppParallel (>=
5.0.1)","runjags(>= 2.0.4-2), modeest(>= 2.3.3), rjags, semTools,
tinytest",NA,"GPL (>= 3)",NA,NA,NA,NA,"711bee0dcccc2c7f554eef9ede55e1e3","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BLR","2020-01-07","Bayesian Linear Regression","1.6",NA,"R (>= 3.1.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"e12b9c6b3d93eb9dc9d8c191cc71dc65","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BMA","2021-05-21","Bayesian Model Averaging","3.18.15",NA,"survival, leaps, robustbase, inline, rrcov","methods",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"ae1cb98f80b933b8e481d99a37e6fa38","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","Bmix","2016-02-07","Bayesian Sampling for Stick-Breaking Mixtures","0.6",NA,"mvtnorm",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"b5f8aef1fb98bfe4d1afeaea66301d36","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bmixture","2021-05-11","Bayesian Estimation for Finite Mixture of Distributions","1.7",NA,"R (>= 3.0.0)","BDgraph",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"31322aef8c62f86e3f88584d89f6b8b1","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BMS","2015-11-24","Bayesian Model Averaging Library","0.3.4",NA,"R (>= 2.5)","graphics, methods, stats",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"049b9d0ae1e47d1627fa8db47a3421c1","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bnlearn","2021-09-06","Bayesian Network Structure Learning, Parameter Learning and
Inference","4.7",NA,"R (>= 3.3.0), methods",NA,NA,"parallel, graph, Rgraphviz, igraph, lattice, gRain (>=
1.3-3), ROCR, Rmpfr, gmp",NA,"GPL (>= 2)",NA,NA,NA,NA,"7f6743a4e1c2e4990a5d270cf06bc4e0","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BNSP","2021-05-05","Bayesian Non- And Semi-Parametric Model Fitting","2.1.6",NA,"R (>= 3.5.0)","coda, ggplot2, plot3D, threejs, gridExtra, cubature, Formula,
plyr, mgcv, corrplot, label.switching","cubature","mvtnorm, np",NA,"GPL (>= 2)",NA,NA,NA,NA,"1d1e4b210bad39e1ec8d3603eb4f14bc","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","boa","2016-06-23","Bayesian Output Analysis Program (BOA) for MCMC","1.1.8-2",NA,"R (>= 2.7)","graphics, grDevices, stats, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"a2391bcb7087201dc4e1de5d1ab97d2c","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","Bolstad","2020-10-05","Functions for Elementary Bayesian Inference","0.2-41",NA,"R (>= 3.2.0)","mvtnorm",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"21be529d72fc61c265982f56035b007e","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","Boom","2021-02-23","Bayesian Object Oriented Modeling","0.9.7",NA,"MASS, R(>= 3.5.0)",NA,NA,"testthat",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"a801b234f3c34537a9ff1d8b16523c51","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BoomSpikeSlab","2021-04-06","MCMC for Spike and Slab Regression","1.2.4",NA,"Boom (>= 0.9.7) , R (>= 3.5.0)",NA,"Boom(>= 0.9.7)","MASS, testthat, mlbench, igraph",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"bbc71ff0f64c76ed5f4b129a0b04eb68","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bqtl","2021-09-04","Bayesian QTL Mapping Toolkit","1.0-33",NA,"R (>= 2.6.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"ab47f8417a7c3966fbc85a3cea939b67","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bridgesampling","2021-04-16","Bridge Sampling for Marginal Likelihoods and Bayes Factors","1.1-2",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"1b33666d5f664239cfa6bfba3fa4f4c1","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","brms","2021-11-22","Bayesian Regression Models using 'Stan'","2.16.3",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.3.1),
posterior (>= 1.0.0), Matrix (>= 1.1.1), mgcv (>= 1.8-13),
rstantools (>= 2.1.1), bayesplot (>= 1.5.0), shinystan (>=
2.4.0), bridgesampling (>= 0.3-0), glue (>= 1.3.0), future (>=
1.19.0), matrixStats, nleqslv, nlme, coda, abind, stats, utils,
parallel, grDevices, backports",NA,"testthat (>= 0.9.1), emmeans (>= 1.4.2), cmdstanr (>= 0.4.0),
projpred (>= 2.0.0), RWiener, rtdists, mice, spdep, mnormt,
lme4, MCMCglmm, splines2, ape, arm, statmod, digest, diffobj,
R.rsp, gtable, shiny, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"5038f8c008caf2ad494d5c1d18992e2e","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bsamGP","2020-03-21","Bayesian Spectral Analysis Models using Gaussian Process Priors","1.2.3",NA,NA,"MASS, ggplot2, gridExtra",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"5742a4fdabe50d77b2f8b02b3dc8a122","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bspec","2015-04-30","Bayesian Spectral Inference","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"f1abfc2b76d03ee3e0246ee99d1c0860","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bspmma","2019-01-13","Bayesian Semiparametric Models for Meta-Analysis","0.1-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"0ae3fe67eb535ffa65530019ce278349","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bsts","2021-07-02","Bayesian Structural Time Series","0.9.7",NA,"BoomSpikeSlab (>= 1.2.4), zoo (>= 1.8), xts, Boom (>= 0.9.7),
R(>= 3.4.0)",NA,"Boom (>= 0.9.7)","testthat",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"3d7fdcbbc4529d68844ee552c8f54482","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BVAR","2022-02-25","Hierarchical Bayesian Vector Autoregression","1.0.3",NA,"R (>= 3.3.0)","mvtnorm, stats, graphics, utils, grDevices",NA,"coda, vars, tinytest",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"0bc65a3651b32c3f34178f322667ef40","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","causact","2022-01-19","Accelerated Bayesian Analytics with DAGs","0.4.1",NA,"R (>= 3.2.0)","DiagrammeR (>= 1.0.7), dplyr (>= 0.8.5), magrittr (>= 1.5),
ggplot2 (>= 3.3.0), rlang (>= 0.4.6), greta (>= 0.3.1), purrr
(>= 0.3.4), tidyr (>= 1.0.3), igraph (>= 1.2.5), stringr (>=
1.4.0), cowplot (>= 1.0.0), coda (>= 0.19.3), forcats (>=
0.5.0), htmlwidgets (>= 1.5.1), rstudioapi (>= 0.11)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"6b7211102f5d7df3ee3e50d7361c80fb","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","coalescentMCMC","2015-03-03","MCMC Algorithms for the Coalescent","0.4-1",NA,"ape, coda, lattice","Matrix, phangorn, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"b891e7a6d8323857d36c59c3463f79df","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","coda","2020-09-30","Output Analysis and Diagnostics for MCMC","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"23122681735275c7178481d819440039","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","conting","2019-04-02","Bayesian Analysis of Contingency Tables","1.7",NA,"R (>= 2.15.0)","mvtnorm, BMS, gtools, tseries, coda",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"7f4d8bc0ddec03e85239ff464e90e075","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","dclone","2019-03-22","Data Cloning and MCMC Tools for Maximum Likelihood Methods","2.3-0",NA,"R (>= 2.15.1), coda (>= 0.13), parallel, Matrix","methods, stats, rjags (>= 4-4), rstan",NA,"MASS, lattice, R2WinBUGS, R2OpenBUGS, BRugs, rlecuyer",NA,"GPL-2",NA,NA,NA,NA,"f3876d87aaf6e465d9b318dd1cfb1094","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","deBInfer","2018-04-18","Bayesian Inference for Differential Equations","0.4.2",NA,"R (>= 2.10), deSolve","truncdist, coda, RColorBrewer, MASS, stats, mvtnorm, graphics,
grDevices, plyr, PBSddesolve, methods",NA,"testthat, knitr, rmarkdown, devtools, R.rsp, beanplot",NA,"GPL-3",NA,NA,NA,NA,"ecb90ab1257661d0db5fadac0487e0d1","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","dina","2019-02-01","Bayesian Estimation of DINA Model","2.0.0",NA,"R (>= 3.4.0), simcdm (>= 0.1.0)","Rcpp (>= 1.0.0)","Rcpp (>= 1.0.0), RcppArmadillo (>= 0.9.200), simcdm, rgen","CDM, covr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"74c2b51e02dbcf4e42c144e5fd501b46","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","dlm","2018-06-13","Bayesian and Likelihood Analysis of Dynamic Linear Models","1.1-5",NA,NA,"stats, utils, methods, grDevices, graphics",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"007c901776540f9602790f45043feff8","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","EbayesThresh","2017-08-08","Empirical Bayes Thresholding and Related Methods","1.4-12",NA,NA,"stats, wavethresh",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"ef1bda302ae53aee2907dd038cb09a11","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","ebdbNet","2021-10-15","Empirical Bayes Estimation of Dynamic Bayesian Networks","1.2.6",NA,"R (>= 4.1.0), igraph","graphics, stats",NA,"GeneNet",NA,"GPL (>= 3)",NA,NA,NA,NA,"3ea9c579d538569f954721d42087ce1d","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","edina","2020-03-25","Bayesian Estimation of an Exploratory Deterministic Input, Noisy
and Gate Model","0.1.1",NA,"R (>= 3.5.0)","Rcpp, ggplot2, jjb, reshape2","Rcpp, RcppArmadillo, rgen","simcdm",NA,"GPL (>= 2)",NA,NA,NA,NA,"921666b93981fe7560c3c5f2544eae6f","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","eigenmodel","2019-05-28","Semiparametric Factor and Regression Models for Symmetric
Relational Data","1.11",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"530e52dd3cad43259c438c6c1d4397d1","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","ensembleBMA","2021-11-13","Probabilistic Forecasting using Ensembles and Bayesian Model
Averaging","5.1.7",NA,"R (>= 2.10), chron",NA,NA,"fields, maps",NA,"GPL (>= 2)",NA,NA,NA,NA,"336c3033c0a8b7f292e77400360876b0","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","EntropyMCMC","2019-03-08","MCMC Simulation and Convergence Evaluation using Entropy and
Kullback-Leibler Divergence Estimation","1.0.4",NA,"R (>= 3.0)","RANN, parallel, mixtools",NA,"Rmpi, snow",NA,"GPL (>= 3)",NA,NA,NA,NA,"ea825d70f62493a3643e9b2e9a4d952e","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","errum","2020-03-20","Exploratory Reduced Reparameterized Unified Model Estimation","0.0.3",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.0)","Rcpp, RcppArmadillo (>= 0.9.200)","simcdm",NA,"GPL (>= 2)",NA,NA,NA,NA,"8e884ce3d7bd7b30a259e4b2c34a9e9e","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","evdbayes","2014-03-31","Bayesian Analysis in Extreme Value Theory","1.1-1",NA,"R (>= 1.8.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"5b27a5aaa6ceddd91357f6085471d9bb","yes",NA,"https://cran.rstudio.com/src/contrib"
